ortho	phon	lemme	cgram	genre	nombre	
désespérance	dezEspeR@s	désespérance	NOM	f	s	
désespéré	dezEspeRe	désespéré	NOM	m	s	
désespérée	dezEspeRe	désespéré	NOM	f	s	
désespérées	dezEspeRe	désespéré	NOM	f	p	
désespérés	dezEspeRe	désespéré	NOM	m	p	
désespoir	dezEspwaR	désespoir	NOM	m	s	
désespoirs	dezEspwaR	désespoir	NOM	m	p	
déshabillage	dezabijaZ	déshabillage	NOM	m	s	
déshabillage-éclair	dezabijaZeklER	déshabillage-éclair	NOM	m	s	
déshabillages	dezabijaZ	déshabillage	NOM	m	p	
déshabillé	dezabije	déshabillé	NOM	m	s	
déshabillés	dezabije	déshabillé	NOM	m	p	
désharmonie	dezaRmoni	désharmonie	NOM	f	s	
désherbage	dezERbaZ	désherbage	NOM	m	s	
désherbant	dezERb@	désherbant	NOM	m	s	
désherbants	dezERb@	désherbant	NOM	m	p	
déshérence	dezeR@s	déshérence	NOM	f	s	
déshéritée	dezeRite	déshérité	NOM	f	s	
déshéritées	dezeRite	déshérité	NOM	f	p	
déshérités	dezeRite	déshérité	NOM	m	p	
déshonneur	dezon9R	déshonneur	NOM	m	s	
déshumanisation	dezymanizasj§	déshumanisation	NOM	f	s	
déshumidification	dezymidifikasj§	déshumidification	NOM	f	s	
déshydratation	dezidRatasj§	déshydratation	NOM	f	s	
desiderata	dezideRata	desiderata	NOM	m		
design	dizajn	design	NOM	m	s	
désignation	deziNasj§	désignation	NOM	f	s	
désignations	deziNasj§	désignation	NOM	f	p	
designer	deziNe	designer	NOM		s	
designers	dizajn9R	designer	NOM		p	
designs	dizajn	design	NOM	m	p	
désillusion	dezilyzj§	désillusion	NOM	f	s	
désillusionnement	dezilyzjOn°m@	désillusionnement	NOM	m	s	
désillusions	dezilyzj§	désillusion	NOM	f	p	
désincarcération	dez5kaRseRasj§	désincarcération	NOM	f	s	
désincarnation	dez5kaRnasj§	désincarnation	NOM	f	s	
désincarné	dez5kaRne	désincarné	NOM	m	s	
désincarnée	dez5kaRne	désincarné	NOM	f	s	
désincarnés	dez5kaRne	désincarné	NOM	m	p	
désindividualisation	dez5divid8alizasj§	désindividualisation	NOM	f	s	
désinence	dezin@s	désinence	NOM	f	s	
désinences	dezin@s	désinence	NOM	f	p	
désinfectant	dez5fEkt@	désinfectant	NOM	m	s	
désinfectants	dez5fEkt@	désinfectant	NOM	m	p	
désinfection	dez5fEksj§	désinfection	NOM	f	s	
désinfections	dez5fEksj§	désinfection	NOM	f	p	
désinformation	dez5fORmasj§	désinformation	NOM	f	s	
