adresse;année agrément;bailleur;nombre total de logements financés;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLA I;dont nombre de logements PLS;mode de réalisation;Commentaires;arrondissement;nature de programme;xy
117 RUE SAINT MARTIN;2008;ELOGIE;8;8;;;;acquisition conventionnement;;75004;logement familial;48.860589, 2.351042
118 RUE DU FAUBOURG SAINT MARTIN;2004;RIVP;17;;;17;;acquisition réhabilitation;;75010;maison relais;48.874057, 2.358621
118 RUE RAMBUTEAU;2012;RIVP;1;1;;;;construction neuve;;75001;logement familial;48.862732, 2.347411
1-19 RUE VILLIOT, 30-40 QUAI DE LA RAPEE LOT 5;2005;PARIS HAB;42;42;;;;construction neuve;;75012;logement familial;48.843207, 2.371326
1-19 RUE VILLIOT, 30-40 QUAI DE LA RAPEE LOT 6A 6B;2008;PARIS HAB;62;32;;;30;construction neuve;;75012;logement familial;48.843207, 2.371326
119, AVENUE GAMBETTA;2010;PARIS HAB;19;13;;2;4;acquisition réhabilitation;;75020;logement familial;48.867824, 2.400839
12 AVENUE BOUDON;2013;PARIS HAB;1;;;1;;acquisition conventionnement;;75016;logement familial;48.849441, 2.269579
12 BIS, RUE DU VAL DE GRACE;2016;SNL;2;;;2;;acquisition réhabilitation;;75005;logement familial;48.841406, 2.339248
12 RUE CAILLIE ET 7 RUE D'AUBERVILLIERS;2008;SIEMP;8;;;5;3;acquisition réhabilitation;;75018;logement familial;48.893414, 2.369658
12 RUE MESNIL;2004;PARIS HAB;23;15;;4;4;acquisition conventionnement;;75016;logement familial;48.868161, 2.284191
12, AVENUE BOUDON ET 55, RUE JEAN DE LA FONTAINE;2008;PARIS HAB;1;1;;;;acquisition conventionnement;;75016;logement familial;48.849441, 2.269579
12, RUE DE L'ASILE POPINCOURT;2016;RIVP;5;2;;3;;construction neuve;;75011;logement familial;48.859899, 2.37489
12, RUE EMILE CHAINE;2009;SIEMP;1;1;;;;acquisition réhabilitation;;75018;logement familial;48.892972, 2.351671
