adresse;année agrément;bailleur;nombre total de logements financés;dont nombre de logements PLUS;dont nombre de logements PLUS CD;dont nombre de logements PLA I;dont nombre de logements PLS;mode de réalisation;Commentaires;arrondissement;nature de programme;xy
29 RUE LAMARCK;2009;PARIS HAB;1;1;;;;acquisition réhabilitation;;75018;logement familial;48.889046, 2.342878
29, PASSAGE DE MENILMONTANT (RS);2004;LERICHEMONT;41;;;41;;acquisition réhabilitation;;75011;résidence sociale pour démuni;48.865431, 2.383579
29, RUE CHARCOT;2009;LOG.FR.;14;8;;3;3;acquisition conventionnement;;75013;logement familial;48.830225, 2.370377
29, RUE RIQUET;2007;PARIS HAB;9;;;9;;construction neuve;projet abandonné refinancé;75019;logement familial;48.888739, 2.372806
29-31, RUE MYRHA;2001;PARIS HAB;12;12;;;;construction neuve;;75018;logement familial;48.887081, 2.353767
29-31, RUE PIERRE NICOLE;2012;ELOGIE;79;79;;;;acquisition réhabilitation;;75005;logement familial;48.840319, 2.339228
29-35, RUE DAVIEL 10 RUE WURTZ;2008;PARIS HAB;267;267;;;;construction neuve;;75013;résidence pour étudiants;48.828317, 2.343478
3 A 7 RUE DES MORILLONS;2016;AXIMO;3;3;;;;acquisition conventionnement;;75015;logement familial;48.832655, 2.30119
3 IMPASSE DES PRIMEVERES;2006;SIEMP;3;;;3;;construction neuve;;75011;logement familial;48.858794, 2.369324
3 RUE DES PROUVAIRES;2005;PARIS HAB;2;2;;;;acquisition réhabilitation;;75001;logement familial;48.861431, 2.344042
3 RUE DU GENERAL GROSSETTI;2012;PARIS HAB;1;1;;;;acquisition réhabilitation;;75016;logement familial;48.837527, 2.263092
3 RUE JEAN SICARD;2012;PARIS HAB;1;1;;;;acquisition réhabilitation;;75015;logement familial;48.828567, 2.298855
3 RUE NICOLAI;2011;RIVP;8;6;;1;1;construction neuve;;75012;logement familial;48.835091, 2.392358
3 SQUARE DU LAONNAIS;2007;PARIS HAB;1;1;;;;acquisition réhabilitation;;75019;logement familial;48.880408, 2.399014
3 SQUARE DU TARN;2007;PARIS HAB;1;1;;;;acquisition réhabilitation;;75017;logement familial;48.888635, 2.29933
3, BD SERURIER 4-6 RUE DU LEMAN;2004;SAGI;6;6;;;;construction neuve;;75019;logement familial;48.877177, 2.40587
3, PASSAGE DE LA BRIE;2007;SIEMP;5;5;;;;acquisition réhabilitation;;75019;logement familial;48.880738, 2.372482
3, RUE BARGUE;2007;SIEMP;1;;;1;;acquisition réhabilitation;;75015;logement familial;48.840687, 2.306177
3, RUE DU GENERAL ROQUES (PLA I ADAPTE);2014;ELOGIE;1;;;1;;acquisition réhabilitation;;75016;logement familial;
3, RUE GERMAIN PILON;2016;RIVP;12;;;12;;acquisition conventionnement;;75018;logement familial;48.883053, 2.336237
3, RUE THOMIRE;2015;ELOGIE;2;1;;1;;acquisition réhabilitation;;75013;logement familial;48.819737, 2.348461
3, SQUARE PATENNE;2015;ELOGIE;1;1;;;;acquisition réhabilitation;;75020;logement familial;48.849531, 2.405582
30 RUE ET 3 VILLA DE L'ERMITAGE;2005;SIEMP;17;10;;;7;acquisition réhabilitation;;75020;logement familial;48.870371, 2.392526
30 RUE GABRIELLE;2007;SNL-PROLOG;1;;;1;;acquisition réhabilitation;;75018;logement familial;48.886087, 2.339727
30, RUE DE BELLEVILLE;2009;SIEMP;1;;;1;;acquisition réhabilitation;;75020;logement familial;48.872711, 2.379625
30, RUE DE CRONSTADT;2009;PARIS HAB;17;12;;;5;acquisition réhabilitation;;75015;logement familial;48.83372, 2.301343
30, RUE DE L'OURCQ;2008;SIEMP;18;;;;18;acquisition réhabilitation;projet abandonné refinancé;75019;logement familial;48.890934, 2.381889
30, RUE DES MARAICHERS;2006;AXIMO;2;;;2;;acquisition réhabilitation;;75020;logement familial;48.849987, 2.407619
30-32, BD DE SEBASTOPOL;2015;HSF;1;1;;;;construction neuve;;75004;logement familial;48.861167, 2.349928
30-32, QUAI DES CELESTINS;2011;ELOGIE;47;;;47;;construction neuve;;75004;foyer pour jeunes travailleurs ou résidence pour jeunes;48.852795, 2.359575
31, RUE DU FG MONTMARTRE;2002;FREHA;12;;;12;;acquisition réhabilitation;;75009;logement familial;48.873663, 2.342595
31, RUE RAMPONEAU;2010;SIEMP;33;16;;;17;construction neuve;;75020;logement familial;48.871359, 2.380219
3-11 PASSAGE FREQUEL LOT 5;2007;SIEMP;17;;17;;;construction neuve;;75020;logement familial;48.857149, 2.402172
31-33, RUE DES VINAIGRIERS;2015;PARIS HAB;43;18;;25;;acquisition conventionnement;;75010;logement familial;48.873103, 2.362255
31-33, RUE LOUIS BRAILLE;2007;SIEMP;7;7;;;;construction neuve;;75012;foyer pour personnes handicapées;48.839789, 2.403695
31-35, RUE DES ORTEAUX LOT 3;2007;PARIS HAB;10;10;;;;construction neuve;;75020;logement familial;48.856742, 2.40143
32 BIS RUE DU COTENTIN;2010;RIVP;15;12;;;3;acquisition conventionnement;;75015;logement familial;48.838651, 2.312794
32-36, RUE GODEFROY-CAVAIGNAC;2002;ELOGIE;29;;;;29;construction neuve;;75011;logement familial;48.856174, 2.380622
328, RUE SAINT JACQUES;2014;HSF;1;1;;;;construction neuve;;75005;logement familial;48.839904, 2.340289
33 RUE POUCHET;2015;AXIMO;1;1;;;;acquisition conventionnement;;75017;logement familial;48.893235, 2.319721
33 RUE VICTOR DURUY;2005;IMM 3F;30;27;;3;;acquisition conventionnement;;75015;logement familial;48.836233, 2.300413
33, BD GARIBALDI;2008;PARIS HAB;20;15;;5;;acquisition réhabilitation;;75015;logement familial;48.846875, 2.305863
33, RUE RAMPONEAU;2009;SIEMP;4;4;;;;acquisition réhabilitation;;75020;logement familial;48.871433, 2.380431
33, RUE RAMPONEAU;2010;SIEMP;1;1;;;;acquisition réhabilitation;;75020;logement familial;48.871433, 2.380431
34, RUE BICHAT;2010;SIEMP;9;7;;2;;acquisition réhabilitation;;75010;logement familial;48.871339, 2.368266
35 A 41, RUE VICTOR MASSE , 54 RUE J.B. PIGALLE;2003;PARIS HAB;139;98;;28;13;acquisition conventionnement;;75009;logement familial;48.881047, 2.336433
35 BIS-37, RUE FALGUIERE;2011;PARIS HAB;23;15;;4;4;construction neuve;;75015;logement familial;48.84243, 2.31591
3-5 RUE DES HAUDRIETTES;2001;SAGI;47;47;;;;acquisition conventionnement;;75003;logement familial;48.861535, 2.357554
14-16, RUE DES PAVILLONS;2013;HSF;9;5;;;4;construction neuve;;75020;logement familial;48.872718, 2.397006
14-16, RUE FOREST ET 2-4 RUE CAVALLOTTI;2004;SAGI;42;42;;;;construction neuve;;75018;résidence pour étudiants;48.886122, 2.328288
14-18, RUE PIERRE BUDIN;2004;PARIS HAB;19;;;2;17;construction neuve;;75018;logement familial;48.889769, 2.352016
142, RUE MARCADET;2010;SIEMP;8;6;;2;;acquisition réhabilitation;;75018;logement familial;48.891336, 2.338889
143, RUE DE CLIGNANCOURT;2005;PARIS HAB;25;15;;10;;acquisition réhabilitation;;75018;logement familial;48.895122, 2.349374
144-146, RUE DU FG SAINT DENIS 7-23, RUE D'ALSACE;2007;RIVP;28;28;;;;construction neuve;;75010;logement familial;48.877794, 2.356452
144-146, RUE DU FG SAINT DENIS 7-23, RUE D'ALSACE;2008;RIVP;6;3;;;3;construction neuve;;75010;logement familial;48.877794, 2.356452
144-160 RUE DE LA TOMBE ISSOIRE BD JOURDAN;2010;LOGIS.TR.;21;21;;;;construction neuve;régularisation sur agrément antérieur;75014;résidence pour étudiants;48.822451, 2.330323
146-148 RUE DE LA ROQUETTE;2002;SAGECO;20;;;;20;acquisition conventionnement;;75011;logement familial;48.858221, 2.382636
149-153, RUE RAYMOND LOSSERAND;2008;PARIS HAB;65;39;;7;19;acquisition conventionnement;;75014;logement familial;48.831116, 2.312902
149-153, RUE RAYMOND LOSSERAND;2010;PARIS HAB;1;1;;;;acquisition conventionnement;;75014;logement familial;48.831116, 2.312902
15 RUE BISSON;2001;RIVP;40;;;40;;acquisition réhabilitation;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75020;foyer de travailleurs migrants;48.870484, 2.380191
15 RUE PIXERECOURT;2009;SIEMP;3;3;;;;acquisition réhabilitation;;75020;logement familial;48.870968, 2.395373
15, PASSAGE DU CLOS BRUNEAU;2003;PARIS HAB;6;6;;;;acquisition réhabilitation;;75005;logement familial;48.848603, 2.34766
15, RUE DE L'ECOLE DE MEDECINE (COUVENT DES CORDELIERS);2014;RIVP;21;;;;21;construction neuve;;75006;résidence pour étudiants;48.850773, 2.341185
15, RUE DE RICHELIEU;2014;ELOGIE;11;6;;5;;construction neuve;;75001;logement familial;48.864236, 2.336018
15, RUE LOUIS MORARD;2011;PARIS HAB;13;7;;3;3;acquisition réhabilitation;;75014;logement familial;48.828569, 2.320829
1-5, RUE LUCIEN ET SACHA GUITRY VINCENNES I;2016;ELOGIE;115;47;;12;56;acquisition conventionnement;;75020;logement familial;48.848655, 2.404169
154 AVENUE LEDRU ROLLIN;2008;ELOGIE;32;32;;;;acquisition conventionnement;;75011;logement familial;48.855744, 2.378889
155, RUE DU CHÂTEAU;2015;PARIS HAB;14;7;;7;;acquisition réhabilitation;;75014;logement familial;48.834059, 2.322617
159, RUE SAINT JACQUES;2003;PARIS HAB;6;6;;;;acquisition réhabilitation;;75005;logement familial;48.846292, 2.343202
16 BD MONTMARTRE;2012;GECINA;6;;;;6;construction neuve;;75009;logement familial;48.871938, 2.341327
16 RUE ERNESTINE;2008;PARIS HAB;35;16;;3;16;acquisition conventionnement;;75018;logement familial;48.889527, 2.354636
16, AVENUE RICHERAND 47 BIS RUE BICHAT;2005;SIEMP;17;9;;8;;acquisition réhabilitation;;75010;logement familial;48.872402, 2.366532
16, RUE ACHILLE LUCHAIRE ET 9, RUE GUSTAVE LE BON;2012;PARIS HAB;2;2;;;;construction neuve;;75014;logement familial;48.823072, 2.321903
16, RUE DE LA PREVOYANCE;2008;ALLIANCE;29;;;29;;construction neuve;;75019;centre d'hébergement d'urgence;48.882733, 2.392592
16, RUE DE LA REUNION;2008;FRANC.HAB.;8;6;;2;;construction neuve;;75020;logement familial;48.853147, 2.403466
16, RUE ERLANGER;2012;HUMANISME;1;;;1;;acquisition conventionnement;;75016;logement familial;48.846747, 2.261341
16, RUE ERLANGER;2013;HUMANISME;1;;;1;;acquisition conventionnement;;75016;logement familial;48.846747, 2.261341
16, RUE EUGENE MILLION;2005;PIER.LUM;17;8;;1;8;construction neuve;;75015;logement familial;48.837835, 2.29283
16, RUE SAUSSIER LEROY;2016;HSF;6;2;;2;2;acquisition conventionnement;;75017;logement familial;48.879758, 2.296208
16,RUE CAMULOGENE-7,RUE CHAUVELOT-11,RUE MONTEBELLO;2001;SEMEA XV;7;;;7;;construction neuve;;75015;logement familial;48.829251, 2.302591
16-18 RUE DE FONTARABIE;2007;PARIS HAB;10;10;;;;construction neuve;;75020;logement familial;48.857509, 2.401376
16-18 RUE VULPIAN;2009;PARIS HAB;31;15;;4;12;acquisition réhabilitation;;75013;logement familial;48.831597, 2.346303
16-18, RUE MYRHA;2006;BATIGERE;12;12;;;;construction neuve;;75018;logement familial;48.887268, 2.354734
162 RUE DU FAUBOURG SAINT DENIS;2002;ALLIANCE;8;;;8;;acquisition réhabilitation;;75010;logement familial;48.879033, 2.357088
162, RUE DE PICPUS;2003;IMM 3F;48;;;;48;construction neuve;;75012;logement familial;48.834565, 2.404109
164-168, BD DE LA VILLETTE ET 8-14 CITE LEPAGE;2005;SIEMP;30;;;;30;construction neuve;;75019;logement familial;48.880331, 2.371267
169 RUE DU CHÂTEAU;2009;ELOGIE;12;6;;3;3;acquisition réhabilitation;;75014;logement familial;48.833708, 2.323349
169, RUE MARCADET;2002;ELOGIE;44;29;;15;;acquisition conventionnement;;75018;logement familial;48.891429, 2.336734
17 A 25, RUE PETIT - 5 PASSAGE DU NORD;2004;SAGI;24;;;;24;construction neuve;;75019;logement familial;48.884957, 2.382465
17 BIS,19 ET 21 RUE D'AMSTERDAM - 39-41, RUE DE LONDRES,;2007;SABLIERE;35;20;;5;10;construction neuve;;75008;logement familial;48.877628, 2.326836
170 RUE SAINT CHARLES;2013;PARIS HAB;1;;;1;;acquisition conventionnement;;75015;logement familial;48.841441, 2.280841
170, RUE NATIONALE;2013;RIVP;138;;;;138;acquisition conventionnement;;75013;logement familial;48.831822, 2.363571
171 , RUE VERCINGETORIX;2007;PARIS HAB;14;14;;;;construction neuve;;75014;foyer pour personnes handicapées;48.831844, 2.310266
17-19, RUE DE LA CHAPELLE;2014;RIVP;114;57;;;57;construction neuve;;75018;résidence pour étudiants;48.891629, 2.359667
174, RUE LECOURBE 7, RUE LEON LHERMITTE;2014;PARIS HAB;2;;;2;;acquisition réhabilitation;;75015;logement familial;48.842958, 2.296931
175 AVENUE LEDRU ROLLIN;2008;ELOGIE;1;;;1;;acquisition réhabilitation;;75012;logement familial;48.848395, 2.371818
178 RUE DE CRIMEE;2001;IMM 3F;36;;;36;;acquisition réhabilitation;;75019;logement familial;48.890435, 2.377163
179 BIS QUAI DE VALMY;2007;IMM 3F;15;;;15;;construction neuve;;75010;résidence sociale pour démuni;48.880276, 2.367166
179 RUE VERCINGETORIX;2007;PARIS HAB;9;;;;9;construction neuve;projet abandonné;75014;logement familial;48.833293, 2.312462
18 , PASSAGE DE CLICHY;2010;SIEMP;5;5;;;;construction neuve;;75018;logement familial;48.884882, 2.328884
18 AVENUE DE FLANDRE;2004;SIEMP;6;;;;6;acquisition réhabilitation;;75019;logement familial;48.885162, 2.370411
18 RUE POISSONNIERE;2002;SIEMP;11;11;;;;acquisition réhabilitation;;75002;logement familial;48.8693, 2.347865
18, PASSAGE DE L'INDUSTRIE;2016;PARIS HAB;8;3;;5;;acquisition réhabilitation;;75010;logement familial;48.871324, 2.354261
18, RUE DE PICPUS (RS);2001;SAGECO;11;;;11;;construction neuve;;75012;résidence sociale pour démuni;48.846437, 2.394188
18, RUE FAGON;2002;LOG.FR.;50;40;;10;;acquisition conventionnement;;75013;logement familial;48.832771, 2.356919
18, RUE PICPUS;2001;SAGECO;12;;;12;;acquisition réhabilitation;;75012;logement familial;48.846437, 2.394188
18, RUE SAINT LOUIS EN L'ILE;2007;BATIGERE;9;4;;5;;construction neuve;;75004;logement familial;48.851356, 2.358012
181 AVENUE DE CLICHY;2011;SIEMP;19;10;;3;6;acquisition réhabilitation;;75017;logement familial;48.893083, 2.3156
18-18 BIS RUE DE LA MARE ET 23 RUE HENRI CHEVREAU;2005;SIEMP;4;;;;4;construction neuve;;75020;logement familial;48.869598, 2.389333
18-34 RUE PAUL BOURGET;2012;ELOGIE;62;31;;12;19;construction neuve;;75013;logement familial;48.81692, 2.356972
185, QUAI DE VALMY;2015;RIVP;57;29;;11;17;acquisition conventionnement;;75010;logement familial;48.880497, 2.367347
186, BOULEVARD DE CHARONNE;2015;ADOMA;14;;;14;;construction neuve;;75020;résidence sociale pour démuni;48.857745, 2.392665
19 RUE DE LA COLLEGIALE;2008;ELOGIE;7;4;;3;;acquisition réhabilitation;;75005;logement familial;48.838063, 2.351877
19 RUE DES PLANTES;2001;SAGI;38;15;;;23;acquisition conventionnement;;75014;logement familial;48.830492, 2.32374
19, RUE DE LA SAIDA;2009;FOND.LEBAU;29;;;;29;construction neuve;;75015;foyer pour personnes handicapées;48.832059, 2.295608
19-21, RUE LAKANAL;2003;SABLIERE;44;37;;7;;acquisition conventionnement;;75015;logement familial;48.843839, 2.29576
19-23 RUE DU DOCTEUR FINLAY;2003;PARIS HAB;178;107;;53;18;acquisition conventionnement;;75015;logement familial;48.852137, 2.289016
19-25, RUE BOISSONNADE;2016;RIVP;20;10;;10;;construction neuve;;75014;logement familial;48.839072, 2.333186
193, RUE SAINT CHARLES;2004;RIVP;48;;;48;;acquisition réhabilitation;;75015;résidence pour étudiants;48.840579, 2.280431
198, RUE RAYMOND LOSSERAND;2011;ELOGIE;8;6;;;2;construction neuve;;75014;logement familial;48.828889, 2.307674
2 BIS CITE DE LA CHAPELLE 41-43, RUE MARX DORMOY;2013;ESPACILHAB;24;;;;24;construction neuve;;75018;établissement d'hébergement pour personnes âgées dépendantes;48.887296, 2.35968
2 ET 4 SQUARE DU VIVARAIS 23 BD DE L'YSER;2012;PARIS HAB;3;3;;;;acquisition réhabilitation;;75017;logement familial;48.883858, 2.287901
2 RUE CAPLAT ET 32 RUE DE LA CHARBONNIERE;2008;BATIGERE;17;9;;;8;acquisition conventionnement;;75018;logement familial;48.884881, 2.355108
2, 3 ET 7 SQUARE DE LA GASCOGNE 2 SQUARE JULES CHERET 7 RUE CHARLES ROBERT;2012;PARIS HAB;5;5;;;;acquisition réhabilitation;;75020;logement familial;48.854278, 2.411765
2, RUE DE LA DHUIS;2007;SIEMP;11;11;;;;acquisition réhabilitation;;75020;logement familial;48.867645, 2.405443
20 BD SOULT;2008;ELOGIE;1;;;1;;acquisition réhabilitation;;75012;logement familial;48.838017, 2.408622
20, RUE LABAT;2014;SIEMP;12;;;;12;acquisition réhabilitation;;75018;logement familial;48.889861, 2.350201
20, RUE PRADIER;2010;SABLIERE;16;16;;;;construction neuve;;75019;logement familial;48.875751, 2.382092
20-26, RUE DE CRONSTADT;2015;PARIS HAB;1;;;1;;acquisition conventionnement;;75015;logement familial;48.833992, 2.301552
21 RUE BREGUET;2007;TOIT&JOIE;47;41;;6;;construction neuve;;75011;logement familial;48.857745, 2.374026
21 RUE PAUL DE KOCK;2004;SNL-PROLOG;1;;;1;;acquisition conventionnement;;75019;logement familial;48.877622, 2.398674
21, RUE BISSON;2005;RIVP;29;29;;;;construction neuve;;75020;résidence pour étudiants;48.870666, 2.380687
21, RUE MONTCALM;2016;PARIS HAB;41;12;;21;8;acquisition conventionnement;;75018;logement familial;48.892842, 2.337103
2-12, RUE EMILE FAGUET 5-7, RUE MONTICELLI;2015;RIVP;2;2;;;;construction neuve;;75014;logement familial;48.821316, 2.329888
21-23, RUE PAJOL;2016;SIEMP;1;;;1;;construction neuve;;75018;logement familial;48.887108, 2.361347
216 - 218 - 220, RUE SAINT MARTIN;2002;PARIS HAB;27;27;;;;acquisition réhabilitation;;75003;logement familial;48.863922, 2.352955
22 ET 23 RUE THEOPHRASTE RENAUDOT;2012;PARIS HAB;2;2;;;;acquisition réhabilitation;;75015;logement familial;48.841116, 2.296958
22 RUE DES TROIS FRERES;2011;PARIS HAB;13;9;;4;;construction neuve;;75018;logement familial;48.884748, 2.341117
22, RUE DE NEVERS;2009;ELOGIE;1;1;;;;acquisition réhabilitation;;75006;logement familial;48.855353, 2.338603
22, RUE DULONG;2004;SABLIERE;29;22;;7;;acquisition conventionnement;;75017;logement familial;48.884115, 2.317527
22, RUE JEAN MOINON;2012;SNL;1;;;1;;acquisition réhabilitation;;75010;logement familial;48.874213, 2.371612
22-24, RUE CAVE;2013;PARIS HAB;35;35;;;;construction neuve;;75018;résidence pour étudiants;48.886782, 2.35426
23 RUE DU CAPITAINE MADON;2007;SIEMP;6;6;;;;construction neuve;;75018;logement familial;48.889972, 2.328102
23, RUE DE L'ABBE GREGOIRE;2015;SIEMP;12;5;;7;;acquisition réhabilitation;;75006;logement familial;48.848248, 2.32497
23, RUE DU POTEAU;2007;ELOGIE;10;;;10;;acquisition réhabilitation;;75018;logement familial;48.893675, 2.342002
23, RUE GANDON;2016;HSF;4;4;;;;construction neuve;;75013;logement familial;48.821264, 2.360936
23, RUE JEAN ROBERT;2003;LOG.FR.;12;;;12;;acquisition réhabilitation;;75018;logement familial;48.890112, 2.35821
23, RUE JEAN-PIERRE TIMBAUD;2015;PARIS HAB;12;12;;;;construction neuve;;75011;logement familial;48.865401, 2.368368
ILOT MOULIN ROUGE 92 BD DE CLICHY;2009;IMM 3F;14;10;;4;;acquisition réhabilitation;;75018;logement familial;48.884165, 2.332001
IMPASSE ROBERT - LOT 3 - 6, IMP GROSSE BOUTEILLE;2001;SIEMP;16;16;;;;construction neuve;;75018;logement familial;48.894885, 2.339547
LEFEBVRE PERICHAUX 119 BD LEFEBVRE;2011;PARIS HAB;7;4;;;3;construction neuve;;75015;logement familial;48.829579, 2.297733
LOT 3 - 1 BIS ET 3 PASSAGE GOIX - 22-24 RUE D'AUBERVILLIERS;2002;SAGI;10;;;;10;construction neuve;;75019;logement familial;48.884982, 2.366105
LOT 3A- 32-34 RUE PERNETY, 5 RUE SAINTE LEONIE , PL. BK/14;2002;PARIS HAB;14;;;;14;construction neuve;;75014;logement familial;48.833431, 2.319559
LOT D - 17-21, RUE TAGORE 143-145 AV D'ITALIE;2003;ELOGIE;35;;;;35;acquisition conventionnement;;75013;logement familial;48.828821, 2.35651
OURCQ JAURES LOT 4 10-12-14 RUE DE L'OURCQ;2009;SIEMP;90;90;;;;construction neuve;;75019;résidence pour étudiants;48.888618, 2.384222
PARIS NORD EST - CHAPELLE INTERNATIONAL- LOT B 69, RUE DE LA CHAPELLE;2016;SABLIERE;73;31;;22;20;construction neuve;;75018;logement familial;48.896236, 2.358799
PARIS NORD EST - CHAPELLE INTERNATIONAL- PARTIE NORD BD NEY LOT F 73 RUE DE LA CHAPELLE;2014;RIVP;106;;;106;;construction neuve;;75018;foyer pour jeunes travailleurs ou résidence pour jeunes;48.896723, 2.358745
PARIS NORD EST - ENTREPOTS MACDONALD 141-219 BD MACDONALD;2010;EFIDIS;128;26;;102;;construction neuve;;75019;foyer pour jeunes travailleurs ou résidence pour jeunes;48.89868, 2.371576
PARIS NORD EST - ENTREPOTS MACDONALD 215, BD MACDONALD;2014;RES.L.F.;30;;;;30;construction neuve;;75019;logement familial;48.898398, 2.371803
PASSAGE REILHAC 54 RUE DU FAUBOURG SAINT DENIS 39 BD DE STRASBOURG;2010;RIVP;61;43;;6;12;acquisition réhabilitation;;75010;logement familial;48.872203, 2.354102
PONIATOWSKI 4 SQUARE DU MASSIF CENTRAL;2009;PARIS HAB;1;1;;;;acquisition réhabilitation;;75012;logement familial;48.833082, 2.399903
PORTE D'ASNIERES LOT B1 - B2 -7 RUE STEPHANE GRAPPELLI;2003;PARIS HAB;33;;;;33;construction neuve;;75017;logement familial;48.892369, 2.303791
PORTE DE CLIGNANCOURT - (ILOT BINET) 16-30, AVENUE DE LA PORTE DE MONTMARTRE;2008;PARIS HAB;84;;68;;16;construction neuve;;75018;logement familial;48.898989, 2.336486
PORTE DE MONTREUIL;2013;PARIS HAB;21;21;;;;acquisition réhabilitation;;75020;logement familial;48.85382, 2.411499
PORTE DE VINCENNES 118, RUE DE LAGNY AVENUE LAMORICIERE;2013;RIVP;368;;;;368;acquisition conventionnement;;75012;logement familial;48.845568, 2.412722
PORTE DE VINCENNES 2 ET 6 SQUARE DU VAR;2014;PARIS HAB;3;;;3;;acquisition réhabilitation;;75020;logement familial;48.848338, 2.411606
PORTE DES LILAS LOT C1 24-30 AVENUE DU DOCTEUR GLEY;2010;RIVP;60;;;60;;construction neuve;Résidence social issue du plan de traitement des foyers de travailleurs migrants;75020;site de desserrement de foyer de travailleur migrant;48.876917, 2.411301
PORTE DES LILAS SECTEUR PAUL MEURICE LOT D2;2013;ELOGIE;50;20;;;30;construction neuve;;75020;logement familial;48.877527, 2.40813
PORTE DES LILAS SECTEUR PAUL MEURICE LOT D3;2013;RIVP;121;121;;;;construction neuve;;75020;résidence pour étudiants;48.877527, 2.40813
QUAI DE LA CHARENTE LOT D2;2009;RIVP;89;35;;9;45;construction neuve;;75019;logement familial;48.897519, 2.383399
RUE DE REUILLY - 6 ET 8 PASSAGE A12;2009;RIVP;1;1;;;;construction neuve;;75012;logement familial;48.848688, 2.389601
SAINT LAMBERT 4 RUE GUSTAVE LARROUMET;2009;PARIS HAB;1;1;;;;acquisition réhabilitation;;75015;logement familial;48.843118, 2.296395
VIGNOLES EST 101-105 RUE DES HAIES;2008;PARIS HAB;9;9;;;;acquisition réhabilitation;;75020;logement familial;48.853846, 2.402333
VIGNOLES EST 79, RUE DES HAIES;2004;PARIS HAB;2;;;2;;acquisition réhabilitation;;75020;logement familial;48.853846, 2.402333
VIGNOLES EST LOT B - 7, PASSAGE DIEU 2-4 IMP SAINT PAUL;2006;ELOGIE;13;6;;2;5;construction neuve;;75020;logement familial;48.856056, 2.403652
ZAC BOUCICAUT LOT E 87-91, RUE DES CEVENNES 140-144, RUE DE LOURMEL;2011;RIVP;12;12;;;;construction neuve;;75015;foyer pour personnes handicapées;48.840812, 2.28399
ZAC CLAUDE BERNARD LOTS A3, B1 ET C1 QUAI DE LA CHARENTE;2008;RIVP;142;57;;14;71;construction neuve;;75019;logement familial;
ZAC CLICHY BATIGNOLLES LOT 1.1;2009;SABLIERE;28;28;;;;construction neuve;;75017;logement familial;48.885097, 2.320532
ZAC CLICHY BATIGNOLLES LOT E10 B1 ET B2;2011;PARIS HAB;25;;;25;;construction neuve;;75017;logement familial;48.885097, 2.320532
ZAC CLICHY BATIGNOLLES LOT E6;2013;VILOGIA;11;;;;11;construction neuve;;75017;logement familial;48.885097, 2.320532
ZAC CLICHY BATIGNOLLES LOT E9;2011;RIVP;38;;;;38;construction neuve;;75017;logement familial;48.885097, 2.320532
ZAC CLICHY BATIGNOLLES LOT O3;2012;RIVP;63;;;63;;construction neuve;;75017;foyer pour jeunes travailleurs ou résidence pour jeunes;48.885097, 2.320532
ZAC CLICHY BATIGNOLLES LOT O3;2012;RIVP;89;89;;;;construction neuve;;75017;résidence pour étudiants;48.885097, 2.320532
ZAC CLICHY BATIGNOLLES LOT O8 35 ALLEE COLETTE HEILBRONNER;2014;ELOGIE;79;40;;16;23;construction neuve;;75017;logement familial;48.892802, 2.310211
ZAC CLICHY BATIGNOLLES LOTS O1 ET O3;2013;ELOGIE;79;39;;16;24;construction neuve;;75017;logement familial;48.885097, 2.320532
ZAC MOSKOWA LOT F - 30 RUE BONNET;2002;SAGI;6;;;;6;construction neuve;;75018;logement familial;48.897404, 2.33407
ZAC PARIS RIVE GAUCHE LOT 10A NORD;2016;PARIS HAB;55;22;;17;16;construction neuve;;75013;logement familial;
ZAC PARIS RIVE GAUCHE LOT M6B2;2011;PARIS HAB;56;56;;;;construction neuve;;75013;logement familial;
ZAC PARIS RIVE GAUCHE LOT M6B2;2011;PARIS HAB;70;;;;70;construction neuve;;75013;logement familial;
ZAC PARIS RIVE GAUCHE LOT M9C 50, RUE WATT - 39-55 RUE DES GRANDS MOULINS;2007;RIVP;65;;;;65;construction neuve;;75013;logement familial;48.828061, 2.382466
ZAC PRG - LOT M11 - RUE CHEVALERET (54 RUE GRANDS MOULINS) (SAGEM);2003;RIVP;56;56;;;;construction neuve;;75013;résidence pour étudiants;48.827706, 2.376754
ZAC PRG LOT M1F1 14-16 RUE THOMAS MANN 11, RUE RENE GOSCINNY;2005;PARIS HAB;23;23;;;;construction neuve;;75013;logement familial;48.830502, 2.37949
ZAC PRG LOT M3H1 27-33, RUE FRANCOISE DOLTO 9-13 RUE M.A. LAGROUA WEILL-HALLE;2004;SIEMP;47;47;;;;construction neuve;;75013;logement familial;48.828462, 2.380229
ZAC PRG LOT M6A3 46-56, AVENUE DE FRANCE 6-8, RUE NICOLE LEPAUTRE;2011;RIVP;37;37;;;;construction neuve;;75013;logement familial;48.826466, 2.381393
ZAC RUNGIS 35 RUE BRILLAT SAVARIN;2008;ESPACILHAB;100;;;;100;construction neuve;;75013;résidence pour étudiants;48.822387, 2.346169
ZAC RUNGIS LOT D (EHPAD);2010;CASVP;100;;;;100;construction neuve;;75013;établissement d'hébergement pour personnes âgées dépendantes;48.822176, 2.346583
ZAC VAUGIRARD LOT B2 8-10 RUE GEORGE DUHAMEL 19 RUE ANDRE GIDE;2003;SABLIERE;44;;;;44;construction neuve;;75015;logement familial;48.836177, 2.312415
23, RUE GODEFROY CAVAIGNAC;2015;ELOGIE;6;;;6;;construction neuve;;75011;logement familial;48.855252, 2.381033
