Rang;Type de document;Prêts;Titre;Auteur;Nombre de localisations;Nombre de prêt total;Nombre de prêts 2017;Nombre d'exemplaires
794.0;Bande dessinée jeunesse;350;Un prince à croquer. 2. Plat;Lyfoung, Patricia;45;2744;617;55
778.0;Bande dessinée pour adulte;354;Le premier homme;Ferrandez, Jacques;42;466;90;42
764.0;Bande dessinée jeunesse;357;Inazuma eleven. 1;Yabuno, Tenya;43;3350;560;61
767.0;Bande dessinée jeunesse;356;Temps de chien !;Cauvin, Raoul;45;620;222;51
799.0;Livre jeunesse;349;Max et les Maximonstres;Sendak, Maurice;45;5587;467;110
774.0;Livre jeunesse;355;La moufle;Desnouveaux, Florence;44;2932;353;74
782.0;Bande dessinée jeunesse;353;0+0 = Duco !;Zidrou;39;2005;477;43
765.0;DVD jeunesse;357;Le monde de Narnia - L'Odyssée du passeur d'aurore;;38;2618;490;49
716.0;DVD jeunesse;365;Les aventures de Bernard et Bianca;Reitherman, Wolfgang;39;1894;456;52
707.0;Livre pour adulte;367;La vengeance du pardon;Schmitt, Éric-Emmanuel;43;667;286;46
688.0;Livre jeunesse;371;La chenille qui fait des trous;Carle, Eric;46;2468;474;91
666.0;Bande dessinée jeunesse;376;Le zoo pétrifié;Chamblain, Joris;49;2227;499;61
690.0;Bande dessinée jeunesse;370;A nous deux !;Fraipont, Céline;44;1739;484;48
712.0;Livre pour adulte;365;Vernon Subutex. 2;Despentes, Virginie;43;1712;431;47
703.0;Bande dessinée jeunesse;368;Fairy Tail. 2;Mashima, Hiro;42;2885;501;54
671.0;Livre jeunesse;375;Plouf !;Corentin, Philippe;51;3327;536;108
699.0;DVD jeunesse;369;Blanche Neige et les sept nains;;40;1702;463;56
704.0;DVD jeunesse;368;Raiponce;;40;3306;495;53
751.0;Bande dessinée jeunesse;358;Les profs. 17. Sortie scolaire;Erroc;32;1162;323;40
763.0;Bande dessinée jeunesse;357;Un amour de potache;Godi, Bernard;35;3450;524;44
736.0;Livre pour adulte;362;La reine du bal;Clark, Mary Higgins;41;364;0;41
728.0;Livre pour adulte;363;Dernières nouvelles;Harrison, Jim;45;462;85;45
719.0;Livre jeunesse;365;Cubes surprises;Yonezu, Yusuke;50;2493;438;83
749.0;Livre jeunesse;359;Papa gonfle;Le Saux, Alain;37;2003;438;71
